Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Norm Type (norm_type),Categorized By (category),Registrations (registrations)
"2019-07-01","Rajasthan","08","Sahapura (Jaipur) Dto","RJ52","Bharat Stage IV/VI","Norm","11.0"
"2020-11-01","Punjab","03","Sdm Samrala","PB43","Bharat Stage IV","Norm","11217.0"
"2019-11-01","Andhra Pradesh","28","Chirala Uo","AP127","Bharat Stage VI","Norm","7.0"
"2020-01-01","Punjab","03","Rto Malerkotla","PB28","Bharat Stage VI","Norm","4.0"
"2021-02-01","Gujarat","24","Navsari","GJ21","Bharat Stage VI","Norm","1956.0"
"2023-05-01","Tamil Nadu","33","Thiruthuraipoondi Uo","TN630","Bharat Stage VI","Norm","285.0"
"2023-05-01","Maharashtra","27","Wardha","MH32","Bharat Stage V (CEV)","Norm","1.0"
"2020-08-01","Tamil Nadu","33","Redhills Rto","TN18","Bharat Stage IV","Norm","1.0"
"2020-11-01","Kerala","32","Malappuram Rto","KL10","Bharat Stage III (CEV)","Norm","5.0"
"2021-04-01","Rajasthan","08","Jodhpur Rto","RJ19","Bharat Stage II","Norm","1.0"
"2022-10-01","Punjab","03","Sdm Samrala","PB43","Bharat Stage VI","Norm","349.0"
"2020-07-01","Maharashtra","27","Dy.R.T.O.Borivali","MH47","Bharat Stage III (CEV)","Norm","1.0"
"2019-12-01","Gujarat","24","Dahod","GJ20","Bharat Stage III","Norm","6.0"
"2022-12-01","Maharashtra","27","Mumbai (West)","MH2","Bharat Stage III (CEV)","Norm","2.0"
"2022-02-01","Rajasthan","08","Balotra Dto","RJ39","Bharat Stage VI","Norm","597.0"
"2020-08-01","Rajasthan","08","Hanumangarh Dto","RJ31","Bharat Stage VI","Norm","856.0"
"2024-04-01","Karnataka","29","Bengaluru East Rto","KA3","Not Available","Norm","506.0"
"2021-12-01","Andhra Pradesh","28","Ravulapalem Uo","AP705","Not Available","Norm","25.0"
"2019-10-01","Chhattisgarh","22","Raipur Rto","CG4","Bharat Stage IV/VI","Norm","559.0"
"2020-11-01","Punjab","03","Sdm Ludhiana East","PB91","Bharat (Trem) Stage III A","Norm","136.0"
"2019-06-01","Arunachal Pradesh","12","Lohit","AR11","Bharat (Trem) Stage III A","Norm","2.0"
"2023-05-01","Tripura","16","Unakoti Dto","TR2","Bharat Stage III","Norm","2.0"
"2024-04-01","Chhattisgarh","22","Rajnandgaon Arto","CG8","Bharat Stage IV (CEV)","Norm","7.0"
"2021-03-01","Uttar Pradesh","09","Shravasti","UP46","Not Available","Norm","17.0"
"2023-01-01","Rajasthan","08","Ajmer Rto","RJ1","Bharat (Trem) Stage III A","Norm","133.0"
"2020-06-01","Madhya Pradesh","23","Satna Arto","MP19","Not Available","Norm","4.0"
"2021-01-01","Madhya Pradesh","23","Dewas Dto","MP41","Bharat Stage VI","Norm","2817.0"
"2020-01-01","Bihar","10","Buxur","BR44","Bharat (Trem) Stage III","Norm","4.0"
"2020-06-01","Rajasthan","08","Dholpur Dto","RJ11","Bharat Stage III (CEV)","Norm","2.0"
"2023-01-01","Odisha","21","Bhadrak Rto","OR22","Bharat Stage IV (CEV)","Norm","3.0"
"2021-12-01","Sikkim","11","Pakyong","SK7","Bharat Stage VI","Norm","80.0"
"2023-08-01","West Bengal","19","Kalimpong Rto","WB78","Bharat (Trem) Stage III A","Norm","4.0"
"2024-01-01","Chhattisgarh","22","Durg Rto","CG7","Not Available","Norm","585.0"
"2019-03-01","Bihar","10","Katihar","BR39","Bharat (Trem) Stage III","Norm","1.0"
"2023-12-01","Madhya Pradesh","23","Shahdol Rto","MP18","Bharat Stage VI","Norm","1298.0"
"2022-07-01","Tamil Nadu","33","Avinashi Uo","TN580","Bharat Stage VI","Norm","652.0"
"2021-08-01","Tamil Nadu","33","Sankagiri Rto","TN52","Bharat Stage IV","Norm","1.0"
"2022-11-01","Uttar Pradesh","09","Ayodhya Rto","UP42","Bharat (Trem) Stage III A","Norm","126.0"
"2022-01-01","Kerala","32","Koilandy Srto","KL56","Bharat Stage VI","Norm","735.0"
"2022-06-01","Haryana","06","Sonepat","HR10","Bharat (Trem) Stage III A","Norm","76.0"
"2023-11-01","Arunachal Pradesh","12","Lower Siang","AR22","Bharat Stage III","Norm","171.0"
"2022-01-01","Andhra Pradesh","28","Kovvuru Uo","AP337","Bharat Stage III","Norm","13.0"
"2024-02-01","Madhya Pradesh","23","Shahdol Rto","MP18","Bharat (Trem) Stage IV","Norm","1.0"
"2021-07-01","Bihar","10","Jehanabad","BR25","Not Available","Norm","35.0"
"2020-03-01","Madhya Pradesh","23","Sehore Dto","MP37","Bharat Stage VI","Norm","275.0"
"2024-04-01","Himachal Pradesh","02","Rla Amb","HP19","Bharat Stage VI","Norm","160.0"
"2020-06-01","Assam","18","Sivasagar","AS4","Bharat Stage IV","Norm","3.0"
"2023-09-01","Arunachal Pradesh","12","West Siang","AR8","Not Available","Norm","8.0"
"2021-02-01","Karnataka","29","K G F Arto","KA8","Bharat (Trem) Stage III A","Norm","18.0"
"2021-03-01","Bihar","10","Bettiah","BR22","Bharat Stage III (CEV)","Norm","6.0"
"2021-03-01","Uttarakhand","05","Pithoragarh Arto","UK5","Bharat (Trem) Stage III A","Norm","1.0"
"2023-04-01","Uttar Pradesh","09","Balrampur","UP47","Bharat Stage III (CEV)","Norm","2.0"
"2023-02-01","West Bengal","19","Coochbehar Rto","WB63","Bharat Stage IV (CEV)","Norm","1.0"
"2022-06-01","Punjab","03","Rto Sangrur","PB13","Bharat Stage IV (CEV)","Norm","4.0"
"2019-10-01","Kerala","32","Chengannur Srto","KL30","Not Available","Norm","1.0"
"2022-10-01","Haryana","06","Ambala City","HR1","Not Available","Norm","31.0"
"2020-04-01","Karnataka","29","Raichur Rto","KA36","Bharat Stage IV","Norm","728.0"
"2023-05-01","Punjab","03","Sdm Nangal","PB74","Bharat Stage VI","Norm","178.0"
"2024-01-01","Bihar","10","Madhubani","BR32","Bharat Stage III (CEV)","Norm","1.0"
"2020-02-01","Maharashtra","27","Nanded","MH26","Not Available","Norm","26.0"
"2020-12-01","Punjab","03","Rto Tarn Taran","PB46","Bharat (Trem) Stage III A","Norm","87.0"
"2024-03-01","Rajasthan","08","Nagaur Dto","RJ21","Bharat (Trem) Stage IV","Norm","2.0"
"2023-12-01","Kerala","32","Alathur Srto","KL49","Bharat (Trem) Stage III A","Norm","4.0"
"2023-03-01","Karnataka","29","Hospet Rto","KA35","Bharat (Trem) Stage III A","Norm","201.0"
"2020-11-01","West Bengal","19","Purulia Rto","WB55","Not Available","Norm","120.0"
"2022-12-01","Rajasthan","08","Ajmer Rto","RJ1","Bharat Stage III (CEV)","Norm","17.0"
"2024-04-01","Andhra Pradesh","28","Adoni Rto","AP221","Not Available","Norm","19.0"
"2022-12-01","Maharashtra","27","Sangli","MH10","Bharat (Trem) Stage IV","Norm","1.0"
"2024-02-01","Maharashtra","27","Nagpur (East)","MH49","Bharat (Trem) Stage IV","Norm","1.0"
"2021-06-01","Odisha","21","Khordha Arto","OR201","Bharat Stage VI","Norm","94.0"
"2022-06-01","Tamil Nadu","33","Thirumangalam Uo","TN598","Not Available","Norm","10.0"
"2020-06-01","Maharashtra","27","Vasai","MH48","Bharat Stage III (CEV)","Norm","4.0"
"2019-10-01","Bihar","10","Bhagalpur","BR10","Not Available","Norm","90.0"
"2019-05-01","Haryana","06","Sdm Badli","HR89","Bharat (Trem) Stage III A","Norm","18.0"
"2023-01-01","Madhya Pradesh","23","Shivpuri Dto","MP33","Bharat Stage III","Norm","1.0"
"2019-07-01","Himachal Pradesh","02","Rla Manali","HP58","Not Available","Norm","1.0"
"2023-07-01","Uttar Pradesh","09","Akbarpur(Ambedkar Nagar)","UP45","Not Available","Norm","170.0"
"2021-08-01","Assam","18","Nalbari","AS14","Not Available","Norm","49.0"
"2020-09-01","Maharashtra","27","Malegaon","MH41","Bharat (Trem) Stage III A","Norm","248.0"
"2020-12-01","Tamil Nadu","33","Rto Chennai (North West)","TN2","Bharat Stage VI","Norm","1184.0"
"2024-03-01","Himachal Pradesh","02","Rla Jhandutta","HP89","Bharat Stage VI","Norm","81.0"
"2021-10-01","Rajasthan","08","Phalodi Dto","RJ43","Bharat (Trem) Stage III A","Norm","143.0"
"2024-05-01","Tamil Nadu","33","Tirunelveli Rto","TN72","Bharat (Trem) Stage IV","Norm","2.0"
"2019-05-01","West Bengal","19","Birbhum Rto","WB53","Bharat Stage III (CEV)","Norm","3.0"
"2020-10-01","Jammu And Kashmir","01","Srinagar Rto","JK1","Bharat Stage III (CEV)","Norm","1.0"
"2024-03-01","Karnataka","29","Krishnarajapuram Rto","KA53","Bharat (Trem) Stage IV","Norm","5.0"
"2022-01-01","Andhra Pradesh","28","Proddutur Rta","AP204","Bharat Stage III","Norm","98.0"
"2023-08-01","Rajasthan","08","Didwana Dto","RJ37","Bharat (Trem) Stage III A","Norm","79.0"
"2023-06-01","Goa","30","Margao Rto","GA8","Bharat (Trem) Stage III A","Norm","5.0"
